ID;Nama;Tempat;Rating_Code;Waktu;Ratings
96;Abee S;Grojogan Sewu Waterfall;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
96;Abee S;Mount Rinjani National Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
96;Abee S;Borobudur Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
96;Abee S;Sarangan Lake;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
97;Mulyadi M;White Crater;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 months ago;5
97;Mulyadi M;Tj. Benoa Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 months ago;5
97;Mulyadi M;Tebing Balangan Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;6 months ago;5
97;Mulyadi M;Kuta Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;6 months ago;5
97;Mulyadi M;Melasti Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;6 months ago;5
97;Mulyadi M;Goa China Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 months ago;5
97;Mulyadi M;Balekambang Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;6 months ago;1
97;Mulyadi M;Parangtritis Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;6 months ago;5
97;Mulyadi M;Indrayanti Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;11 months ago;5
97;Mulyadi M;Teluk Asmara Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 months ago;5
97;Mulyadi M;Coban Rondo Waterfall Pujon;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 months ago;5
97;Mulyadi M;Taman Nusa;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
97;Mulyadi M;Jawa Timur Park 2;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;6 months ago;5
97;Mulyadi M;Jawa Timur Park 3;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 weeks ago;5
97;Mulyadi M;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 months ago;5
98;Nathanael S;White Crater;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
98;Nathanael S;Amal Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;11 months ago;5
98;Nathanael S;Ancol Dreamland;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
98;Nathanael S;Dago Dreampark;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;4 years ago;1
98;Nathanael S;Uluwatu Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
98;Nathanael S;Dunia Fantasi;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
98;Nathanael S;Danau Toba;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
99;Agung Le;White Crater;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;a year ago;1
99;Agung Le;Nusa Dua Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
99;Agung Le;Virgin Beach, Karangasem, Bali;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
99;Agung Le;Sawarna Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;2 years ago;1
